stepCount,timeStamp,objectId,posX,posY,posZ,oriX,oriY,oriZ,oriW,velX,velY,velZ,omegaX,omegaY,omegaZ,qNum,q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,u0,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11
0,0.0,0,0.0,0.0,0.0,-0.0,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,1,0.0,0.0,1.0,-0.0,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0008995226235128939,0.030106736347079277,-0.07867509871721268,-0.0008995226235128939,0.030106740072369576,-0.07867547869682312,0.0008995226235128939,0.030106738209724426,-0.0786752849817276,-0.0008995226235128939,0.030106738209724426,-0.07867541164159775,0.0899522602558136,3.010673761367798,-7.867509841918945,-0.0899522602558136,3.010673999786377,-7.867547988891602,0.0899522602558136,3.010673761367798,-7.867528915405273,-0.0899522602558136,3.010673761367798,-7.867541313171387
1,0.009999999776482582,0,0.0,0.0,0.0,-0.0,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.009999999776482582,1,0.0,0.0,1.0,-0.0,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0017090929904952645,0.05720280855894089,-0.1494826376438141,-0.0017090929904952645,0.057202816009521484,-0.14948385953903198,0.0017090929904952645,0.057202812284231186,-0.14948323369026184,-0.0017090929904952645,0.057202816009521484,-0.14948369562625885,0.08095703274011612,2.709606885910034,-7.080754280090332,-0.08095703274011612,2.7096076011657715,-7.080837726593018,0.08095703274011612,2.7096073627471924,-7.080794334411621,-0.08095703274011612,2.7096076011657715,-7.080827713012695
2,0.019999999552965164,0,0.0,0.0,0.0,-0.0,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.019999999552965164,1,0.0,0.0,1.0,-0.0,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0024377063382416964,0.08158925920724869,-0.21320796012878418,-0.0024377063382416964,0.08158927410840988,-0.21320953965187073,0.0024377063382416964,0.08158926665782928,-0.21320872008800507,-0.0024377063382416964,0.08158927410840988,-0.213209331035614,0.07286132872104645,2.438645601272583,-6.372531890869141,-0.07286132872104645,2.438645839691162,-6.372567653656006,0.07286132872104645,2.438645601272583,-6.372549057006836,-0.07286132872104645,2.438645839691162,-6.37256383895874
3,0.029999999329447746,0,0.0,0.0,0.0,-0.0,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.029999999329447746,1,0.0,0.0,1.0,-0.0,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0030934582464396954,0.10353708267211914,-0.27056118845939636,-0.0030934582464396954,0.10353710502386093,-0.27056315541267395,0.0030934582464396954,0.10353709012269974,-0.27056214213371277,-0.0030934582464396954,0.10353709757328033,-0.27056291699409485,0.06557519733905792,2.194782018661499,-5.735323905944824,-0.06557519733905792,2.1947827339172363,-5.735363006591797,0.06557519733905792,2.194782257080078,-5.735342979431152,-0.06557519733905792,2.1947824954986572,-5.735359191894531
4,0.03999999910593033,0,0.0,0.0,0.0,-0.0,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.03999999910593033,1,0.0,0.0,1.0,-0.0,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0036836350336670876,0.12329014390707016,-0.3221800923347473,-0.0036836350336670876,0.12329017370939255,-0.3221825957298279,0.0036836350336670876,0.12329015880823135,-0.3221813142299652,-0.0036836350336670876,0.12329016625881195,-0.322182297706604,0.05901768058538437,1.9753061532974243,-5.161890983581543,-0.05901768058538437,1.9753071069717407,-5.161942958831787,0.05901768058538437,1.9753066301345825,-5.161916255950928,-0.05901768058538437,1.9753069877624512,-5.161938190460205
